date_,store,department,item,unit_price,quantity,on_promotion,promotion_type
20120102,315,1,95470,10.0,28.926826,N,0
20120102,315,1,507566,10.0,26.984509,N,0
20120102,315,1,593171,10.0,24.338593,N,0
20120102,315,2,22631,12.84,21.032454,N,0
20120102,315,2,404470,12.54,26.381279,N,0
20120102,315,2,423218,14.91,22.888035,N,0
20120102,315,2,451332,29.82,24.59309,N,0
20120102,315,2,482591,23.94,21.670029,N,0
20120102,315,2,533283,6.0,22.092785,N,0
20120102,315,2,558749,44.94,19.78913,N,0
20120102,315,2,568499,3.75,19.647852,N,0
20120102,315,2,570153,11.91,14.344991,N,0
20120102,315,2,577654,25.41,18.116568,N,0
20120102,315,2,586937,3.0,15.235654,N,0
20120102,315,2,592729,11.31,11.272774,N,0
20120102,315,3,3683,1.76,9.461906,Y,5
20120102,315,3,20376,7.54,12.489393,N,0
20120102,315,3,90263,11.94,14.965121,Y,6
20120102,315,3,92418,2.34,15.620095,N,0
20120102,315,3,92433,2.34,17.423964,N,0
20120102,315,3,108037,3.98,23.59338,N,0
20120102,315,3,153171,8.0,18.55002,N,0
20120102,315,3,194781,7.34,19.51418,Y,5
20120102,315,3,228016,11.94,22.471947,N,0
20120102,315,3,280116,6.94,20.031595,N,0
20120102,315,3,417014,4.0,16.752218,N,0
20120102,315,3,456076,4.0,12.209706,Y,5
20120102,315,3,496031,17.94,16.52297,Y,6
20120102,315,3,515246,4.94,15.263651,N,0
20120102,315,3,573599,4.54,11.777886,N,0
20120102,315,3,573607,4.54,10.972949,N,0
20120102,315,3,573609,4.54,13.854981,N,0
20120102,315,3,587131,5.54,17.104311,N,0
20120102,315,4,82660,4.45,19.463291,Y,6
20120102,315,4,82686,1.45,18.132406,N,0
20120102,315,4,82689,3.71,11.761235,N,0
20120102,315,4,82701,2.95,11.549584,N,0
20120102,315,4,183628,2.96,20.64121,N,0
20120102,315,4,255476,2.2,27.389444,N,0
20120102,315,4,255489,2.35,23.263603,Y,6
20120102,315,4,255494,1.45,20.9058,N,0
20120102,315,4,335757,3.7,20.169958,Y,5
20120102,315,4,345376,3.38,19.56314,N,0
20120102,315,4,407217,1.91,28.006939,Y,6
20120102,315,4,409559,3.7,20.040937,N,0
20120102,315,4,411406,5.96,16.594797,N,0
20120102,315,4,431714,2.66,16.805113,N,0
20120102,315,4,455721,4.46,27.798319,Y,6
20120102,315,4,467757,7.45,31.26452,N,0
20120102,315,4,489718,5.96,23.34884,N,0
20120102,315,4,501396,3.7,31.924473,Y,5
20120102,315,4,530037,5.95,19.228987,N,0
20120102,315,4,532196,2.66,36.25371,N,0
20120102,315,4,536428,5.95,19.390324,N,0
20120102,315,4,555947,5.96,28.536924,N,0
20120102,326,1,466877,12.0,26.188019,N,0
20120102,326,1,466879,12.0,23.714602,N,0
20120102,326,1,478896,12.0,19.111788,N,0
20120102,326,1,507566,10.0,25.080158,N,0
20120102,326,1,542781,12.0,22.255949,N,0
20120102,326,1,593171,10.0,19.906487,N,0
20120102,326,2,22631,12.84,21.984571,N,0
20120102,326,2,423218,14.91,18.597795,Y,6
20120102,326,2,487331,9.0,15.468805,N,0
20120102,326,2,487334,9.0,14.669544,N,0
20120102,326,2,516965,14.91,14.568363,Y,6
20120102,326,2,517989,18.0,16.42777,N,0
20120102,326,2,533283,6.0,16.8236,N,0
20120102,326,2,540535,6.0,16.660706,N,0
20120102,326,2,568499,3.0,16.864271,Y,6
20120102,326,2,570153,11.91,18.527071,N,0
20120102,326,2,592729,11.31,15.891126,N,0
20120102,326,3,3683,1.76,15.768897,Y,5
20120102,326,3,20376,7.54,13.605776,N,0
20120102,326,3,36907,7.94,14.141776,N,0
20120102,326,3,92418,2.34,17.140377,N,0
20120102,326,3,153171,8.0,21.355513,N,0
20120102,326,3,194771,3.94,19.938168,N,0
20120102,326,3,194781,7.34,17.99306,Y,5
20120102,326,3,346126,21.94,19.229265,N,0
20120102,326,3,417014,4.0,22.13687,N,0
20120102,326,3,447058,11.98,22.199461,Y,6
20120102,326,3,456076,4.0,17.30835,Y,5
20120102,326,3,471651,9.94,13.062695,N,0
20120102,326,3,573599,4.54,11.04538,N,0
20120102,326,3,573602,4.54,12.873718,N,0
20120102,326,3,573607,4.54,13.595628,N,0
20120102,326,3,573609,4.54,13.746915,N,0
20120102,326,3,587131,5.54,14.109164,N,0
20120102,326,3,590267,1.94,24.796438,N,0
20120102,326,4,82660,3.7,17.734756,Y,6
20120102,326,4,82686,1.46,15.036333,N,0
20120102,326,4,82701,2.95,18.068047,N,0
20120102,326,4,255476,2.2,22.400017,N,0
20120102,326,4,255489,2.21,22.992348,Y,6
20120102,326,4,255494,1.45,20.250021,N,0
20120102,326,4,335757,3.7,19.574917,Y,5
20120102,326,4,335781,2.36,19.649618,N,0
20120102,326,4,345376,3.0,19.365103,N,0
20120102,326,4,407217,1.91,20.179096,Y,6
20120102,326,4,409559,3.71,26.905287,N,0
20120102,326,4,411406,4.46,19.977194,N,0
20120102,326,4,431714,2.66,16.761822,N,0
20120102,326,4,455721,3.71,34.318485,Y,6
20120102,326,4,467757,5.25,25.207314,N,0
20120102,326,4,495886,5.96,31.737133,N,0
20120102,326,4,501396,3.7,19.196411,Y,5
20120102,326,4,530037,5.96,36.19066,N,0
20120102,326,4,532196,2.66,33.25149,N,0
20120102,326,4,536428,4.46,18.287891,N,0
20120102,326,4,555947,5.96,27.157942,N,0
20120102,352,1,593171,10.0,25.379192,N,0
20120102,352,2,22631,12.84,22.403683,N,0
20120102,352,2,423218,14.91,18.481817,Y,6
20120102,352,2,487331,9.0,24.609081,N,0
20120102,352,2,487334,9.0,20.566069,N,0
20120102,352,2,533283,6.0,19.446157,N,0
20120102,352,2,540535,6.0,21.871405,N,0
20120102,352,2,568499,3.0,18.510714,Y,6
20120102,352,2,570153,12.0,15.456274,N,0
20120102,352,2,586937,3.0,13.86714,N,0
20120102,352,2,592729,11.31,18.520885,N,0
20120102,352,3,3683,1.76,13.2143545,Y,5
20120102,352,3,20376,7.54,21.10666,N,0
20120102,352,3,90263,11.94,18.248383,Y,6
20120102,352,3,194771,4.18,16.437208,N,0
20120102,352,3,194781,7.34,16.751682,Y,5
20120102,352,3,417014,4.0,16.135122,N,0
20120102,352,3,447058,11.98,18.280624,Y,6
20120102,352,3,471651,9.94,21.791325,N,0
20120102,352,3,515246,5.0,21.622923,N,0
20120102,352,3,573599,4.4,20.106981,N,0
20120102,352,3,573602,4.4,16.767895,N,0
20120102,352,3,573607,4.4,12.893828,N,0
20120102,352,3,573609,4.4,16.926096,N,0
20120102,352,3,587131,5.54,23.44474,N,0
20120102,352,3,590267,2.0,19.395884,N,0
20120102,352,4,82660,4.16,19.047836,Y,6
20120102,352,4,82686,1.91,17.11155,N,0
20120102,352,4,82701,2.51,21.523922,N,0
20120102,352,4,183628,2.5,22.255516,N,0
20120102,352,4,255476,1.91,19.879038,N,0
20120102,352,4,255489,2.2,18.902504,Y,6
20120102,352,4,255494,1.91,19.071896,N,0
20120102,352,4,335757,3.7,19.513865,Y,5
20120102,352,4,335781,2.36,19.377398,N,0
20120102,352,4,345376,3.0,20.24826,N,0
20120102,352,4,407217,1.91,26.387274,Y,6
20120102,352,4,409559,2.95,20.222046,N,0
20120102,352,4,411406,4.46,16.860428,N,0
20120102,352,4,431714,2.2,27.492064,N,0
20120102,352,4,455721,4.46,30.238712,Y,6
20120102,352,4,467757,3.75,22.36997,N,0
20120102,352,4,501396,3.7,31.204453,Y,5
20120102,352,4,530037,5.95,18.813662,N,0
20120102,352,4,532196,2.2,36.238007,N,0
20120102,352,4,536428,4.45,32.948174,N,0
20120102,352,4,555947,6.71,18.106379,N,0
20120102,357,1,70400,70.0,27.137754,N,0
20120102,357,1,466879,12.0,24.640392,N,0
20120102,357,2,8598,6.39,21.981224,Y,6
20120102,357,2,22631,12.84,18.002508,N,0
20120102,357,2,423218,14.91,24.835508,Y,6
20120102,357,2,451332,29.82,18.94937,N,0
20120102,357,2,482591,23.94,21.875908,N,0
20120102,357,2,487331,9.0,18.595985,N,0
20120102,357,2,487334,9.0,15.22433,N,0
20120102,357,2,516965,14.91,13.810959,Y,6
20120102,357,2,540535,6.0,18.534294,N,0
20120102,357,2,568499,3.0,14.72442,Y,6
20120102,357,2,570153,11.91,19.003382,N,0
20120102,357,2,586937,3.0,8.684668,N,0
20120102,357,2,592729,11.31,23.223608,N,0
20120102,357,3,3683,1.76,20.874231,Y,5
20120102,357,3,36907,7.94,20.251469,N,0
20120102,357,3,90263,11.94,16.832916,Y,6
20120102,357,3,92418,2.34,14.847736,N,0
20120102,357,3,108037,3.98,17.535545,N,0
20120102,357,3,194771,3.94,21.90609,N,0
20120102,357,3,194781,7.34,20.661213,Y,5
20120102,357,3,280116,8.94,22.774012,N,0
20120102,357,3,346126,21.94,22.028042,N,0
20120102,357,3,417014,4.0,20.328074,N,0
20120102,357,3,447058,11.98,16.598808,Y,6
20120102,357,3,456076,4.0,13.667506,Y,5
20120102,357,3,496031,17.94,16.473791,Y,6
20120102,357,3,573599,4.54,15.684672,N,0
20120102,357,3,573607,4.54,13.103659,N,0
20120102,357,3,573609,4.54,15.73651,N,0
20120102,357,3,587131,5.54,15.440123,N,0
20120102,357,3,590267,1.94,19.739145,N,0
